Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
311535:MG-CATAS ALTAS;2795942,58999991;29384,0899999999;0;64995,7000000086;195483,230000021;131535,540000004;1000530,59000007;21297,4399999995;4239169,18000001
311540:MG-CATAS ALTAS DA NORUEGA;0;521592,499999984;0;2150;39058,9399999976;28870,8200000003;388452,350000026;48722,3400000017;1028846,95000001
311545:MG-CATUJI;0;21238,9499999993;0;0;132249,670000014;284508,20000002;855753,899999967;58714,2599999998;1352464,98
311547:MG-CATUTI;0;0;0;0;31715,8900000006;14547,9700000007;528632,18;1100;575996,040000001
311550:MG-CAXAMBU;28788,5600000005;288103,240000011;25140,2200000007;94254,0599999977;1569075,39000014;2190227,27999997;2139990,58000005;232764,609999985;6568343,94000015
311560:MG-CEDRO DO ABAETE;0;0;0;0;7128,98000000045;4087,55000000075;350003,249999991;17369,4499999993;378589,229999991
311570:MG-CENTRAL DE MINAS;0;8549,72000000067;12272,7699999996;14824,5299999993;238777,230000012;108408,859999999;700298,060000051;16223,3300000001;1099354,50000006
311580:MG-CENTRALINA;0;11399,459999999;0;14100;499899,54000001;302328,599999981;766880,660000045;297293,500000004;1891901,76000004
311590:MG-CHACARA;0;57105,4000000022;0;25261,1500000022;54141,8400000036;45435,7499999963;610150,339999987;75878,2099999981;867972,689999989
311600:MG-CHALE;0;26668,2400000021;21116,4099999964;3460,8599999994;133781,850000015;124383,550000011;675951,520000014;5622,01999999955;990984,450000037
311610:MG-CHAPADA DO NORTE;0;1100;0;8866,20000000112;70626,7000000011;37109,489999989;816980,2899999;2242;936924,679999892
