"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310110","AIMORÉS","MG","01/2020","340792.7"
"310110","AIMORÉS","MG","01/2018","324360"
"310110","AIMORÉS","MG","02/2018","326268"
"310110","AIMORÉS","MG","03/2018","326268"
"310110","AIMORÉS","MG","04/2018","324360"
"310110","AIMORÉS","MG","05/2018","323043"
"310110","AIMORÉS","MG","06/2018","323120.00"
"310110","AIMORÉS","MG","07/2018","325018.46"
"310110","AIMORÉS","MG","09/2018","324064.46"
"310110","AIMORÉS","MG","10/2018","319294.46"
"310110","AIMORÉS","MG","11/2018","319275.76"
"310110","AIMORÉS","MG","12/2018","320057.66"
"310110","AIMORÉS","MG","01/2019","335328.4"
"310110","AIMORÉS","MG","08/2018","325972.46"
"310110","AIMORÉS","MG","02/2019","335328.4"
"310110","AIMORÉS","MG","03/2019","332334.4"
"310110","AIMORÉS","MG","04/2019","327344.4"
